target_arch,source_arch,mean_regret,var_regret,min_regret,max_regret
mlp_2x_192x192_do0.25_a0.015,mlp_2x_192x192_do0.15_a0.015,-0.0005973370742797856,2.2242402631341127e-06,-0.002333731508255013,0.0019184975385665853
mlp_2x_192x192_do0.25_a0.015,mlp_2x_192x192_do0.15_a0.045,-0.0003476790833473242,3.4638717407930964e-06,-0.003111221504211434,0.0022112464785575825
mlp_2x_192x192_do0.25_a0.015,mlp_2x_192x192_do0.25_a0.015,0.0,0.0,0.0,0.0
mlp_2x_192x192_do0.25_a0.015,mlp_2x_192x192_do0.25_a0.045,9.469876050949011e-05,1.21088924534741e-06,-0.001646911692619324,0.00136976573467254
mlp_2x_192x192_do0.25_a0.015,mlp_3x_192x192x128_do0.15_a0.015,0.00020439943075180322,3.0714398056731157e-06,-0.0019679491639137264,0.003389291644096376
mlp_2x_192x192_do0.25_a0.015,mlp_3x_192x192x128_do0.15_a0.045,0.00020439943075180322,3.0714398056731157e-06,-0.0019679491639137264,0.003389291644096376
mlp_2x_192x192_do0.25_a0.015,mlp_3x_192x192x128_do0.25_a0.015,0.0023707244777679435,2.761229523538273e-06,-0.0005338353514671296,0.004339609730243679
mlp_2x_192x192_do0.25_a0.015,mlp_3x_192x192x128_do0.25_a0.045,0.0023707244777679435,2.761229523538273e-06,-0.0005338353514671296,0.004339609730243679
mlp_2x_192x192_do0.25_a0.045,mlp_2x_256x128_do0.15_a0.015,0.00024762974023819216,1.7576794504794714e-06,-0.0009802332758903493,0.0019290742158889762
mlp_2x_192x192_do0.25_a0.045,mlp_2x_256x128_do0.15_a0.045,0.0009720820236206046,1.6070731858773244e-06,-0.0010357330322265657,0.0026955428242683294
mlp_2x_192x192_do0.25_a0.045,mlp_2x_256x128_do0.25_a0.015,-0.0009287170910835252,2.3260673146705366e-06,-0.0026099452853202837,0.0009006399869918857
mlp_2x_192x192_do0.25_a0.045,mlp_2x_256x128_do0.25_a0.045,0.0009720820236206046,1.6070731858773244e-06,-0.0010357330322265657,0.0026955428242683294
mlp_2x_192x192_do0.25_a0.045,mlp_2x_192x192_do0.15_a0.015,-0.0009287170910835252,2.3260673146705366e-06,-0.0026099452853202837,0.0009006399869918857
